1,2014-06-28T19:26:34.678698Z,0.03354
2,2014-06-28T19:26:34.678698Z,-0.12964
1,2014-06-28T19:26:39.698799Z,0.05725
2,2014-06-28T19:26:39.698799Z,-0.08990
1,2014-06-28T19:26:44.699209Z,0.03894
2,2014-06-28T19:26:44.699209Z,-0.12494
1,2014-06-28T19:26:49.670762Z,0.05472
2,2014-06-28T19:26:49.670762Z,-0.22958
1,2014-06-28T19:26:54.688714Z,0.04434
2,2014-06-28T19:26:54.688714Z,-0.20270
1,2014-06-28T19:26:59.689702Z,0.04349
2,2014-06-28T19:26:59.689702Z,-0.26639
1,2014-06-28T19:27:04.690121Z,0.04010
2,2014-06-28T19:27:04.690121Z,-0.35004
1,2014-06-28T19:27:09.612691Z,0.05838
2,2014-06-28T19:27:09.612691Z,-0.21021
1,2014-06-28T19:27:14.688706Z,0.03412
2,2014-06-28T19:27:14.688706Z,-0.06915
1,2014-06-28T19:27:19.708809Z,0.05661
2,2014-06-28T19:27:19.708809Z,-0.11194
1,2014-06-28T19:27:24.691608Z,0.03503
2,2014-06-28T19:27:24.691608Z,-0.17889
1,2014-06-28T19:27:29.709558Z,0.05823
2,2014-06-28T19:27:29.709558Z,-0.15439
1,2014-06-28T19:27:34.690523Z,0.03616
2,2014-06-28T19:27:34.690523Z,-0.15344
1,2014-06-28T19:27:39.708731Z,0.04065
2,2014-06-28T19:27:39.708731Z,-0.08698
1,2014-06-28T19:27:44.708844Z,0.05765
2,2014-06-28T19:27:44.708844Z,-0.13760
1,2014-06-28T19:27:49.679550Z,0.05310
2,2014-06-28T19:27:49.679550Z,-0.21774
1,2014-06-28T19:27:54.698713Z,0.04059
2,2014-06-28T19:27:54.698713Z,-0.34137
1,2014-06-28T19:27:59.629355Z,0.03549
2,2014-06-28T19:27:59.629355Z,-0.33261
1,2014-06-28T19:28:04.708723Z,0.05051
2,2014-06-28T19:28:04.708723Z,-0.12372
1,2014-06-28T19:28:14.977353Z,0.04199
2,2014-06-28T19:28:14.977353Z,-0.13055
1,2014-06-28T19:28:19.667585Z,0.03235
2,2014-06-28T19:28:19.667585Z,-0.29855
1,2014-06-28T19:28:24.685598Z,0.04794
